data: {"data":"===== Application Startup at 2026-04-06 21:38:44 =====\n","timestamp":"2026-04-06T21:38:44Z"}

data: {"data":"Starting Automaker entrypoint script...","timestamp":"2026-04-06T21:39:06.954Z"}

data: {"data":"--- Initial Environment Diagnostics ---","timestamp":"2026-04-06T21:39:06.976Z"}

data: {"data":"User ID: 1000","timestamp":"2026-04-06T21:39:06.978Z"}

data: {"data":"Home: /home/node","timestamp":"2026-04-06T21:39:06.978Z"}

data: {"data":"Path: /home/node/.local/bin:/home/node/.opencode/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin","timestamp":"2026-04-06T21:39:06.978Z"}

data: {"data":"Data Dir: /app/data","timestamp":"2026-04-06T21:39:06.978Z"}

data: {"data":"Available secret-like environment variables (keys only):","timestamp":"2026-04-06T21:39:06.978Z"}

data: {"data":"PWD","timestamp":"2026-04-06T21:39:06.983Z"}

data: {"data":"----------------------------------------","timestamp":"2026-04-06T21:39:06.983Z"}

data: {"data":"Warning: No OpenCode API key found (tried OPENCODE_API_KEY, OPENCODE_TOKEN, HF_TOKEN)","timestamp":"2026-04-06T21:39:06.983Z"}

data: {"data":"Warning: No Jules API key found (tried JULES_API_KEY, JULES_TOKEN, BLABLADOR_API_KEY)","timestamp":"2026-04-06T21:39:06.983Z"}

data: {"data":"Warning: No GitHub API key found (tried GITHUB_API_KEY, GH_TOKEN)","timestamp":"2026-04-06T21:39:06.983Z"}

data: {"data":"--- Post-Config Diagnostics ---","timestamp":"2026-04-06T21:39:06.983Z"}

data: {"data":"CLI Detection:","timestamp":"2026-04-06T21:39:06.983Z"}

data: {"data":"/usr/bin/gh","timestamp":"2026-04-06T21:39:06.987Z"}

data: {"data":"/home/node/.opencode/bin/opencode","timestamp":"2026-04-06T21:39:06.987Z"}

data: {"data":"Config File Verification:","timestamp":"2026-04-06T21:39:06.988Z"}

data: {"data":"✗ OpenCode auth.json is missing!","timestamp":"2026-04-06T21:39:06.988Z"}

data: {"data":"✓ GitHub config directory exists","timestamp":"2026-04-06T21:39:06.988Z"}

data: {"data":"total 0","timestamp":"2026-04-06T21:39:06.991Z"}

